text_cleaned,actual_1,actual_2,actual_3,predicted_1,predicted_2,predicted_3
Hotel menawarkan harga yang terjangkau tanpa mengorbankan pelayanan dan fasilitas Stafnya sangat ramah dan profesional dan fasilitas yang disediakan sangat memadai ,5.0,0.0,3.0,1,0,1
Saya sangat terkesan dengan hotel ini karena harga yang terjangkau tetapi tetap menawarkan pelayanan yang luar biasa Stafnya sangat perhatian dan fasilitasnya lengkap menciptakan pengalaman menginap yang nyaman ,5.0,0.0,3.0,0,0,0
aneh sekali,0.0,0.0,0.0,1,0,1
rumah besar sepi sekaligus menyeramkan,0.0,0.0,0.0,1,0,0
Kamar yg bersih fasilitas oke lokasi dekat dg penjual makanan serta pelayanan yg ramah,0.0,4.0,0.0,0,0,1
Staffnya ramah dan sigap untuk menu makanan juga lengkap sesuai dengan bintang hotelnya Kamarnya bersih dan nyaman ,0.0,4.0,3.0,1,1,1
Pelayanan oke banget staff nya ramah parkiran cukup akomodatif sarapan beragam dan enak ,0.0,0.0,3.0,1,1,1
Parkiran terbatas sepertinya pelayanan ramah kamarnya oke lah tidak terlalu besar,0.0,4.0,3.0,1,1,1
Menyenangkan nginep the yogyakarta kamarnya bagus bersih stafnya ramah ramah dan dekat kemana mana,0.0,4.0,3.0,0,1,0
Pelayanan sgt bagus hotel bersih dan menu sarapan jg beragam dan enak,0.0,0.0,3.0,1,1,1
kamar yg bersih fasilitas oje lokasi dekat dg penjual makanan serta pelayanan yg ramah ,0.0,4.0,3.0,1,0,1
kebersihan kamarnya tidak dijaga shower rusak tidak diganti dinding sampai jamuran Untuk pelayanan masih standard hanya kamarnya tidak ada kualitas,0.0,3.0,0.0,1,1,1
Harga tidak sesuai sepadan dengan realita Kamar terlalu gelap seperti kamar hotel seharga an Sarapan kurang rekomended dan kurang bervariasi,5.0,4.0,0.0,1,0,1
Untuk pelayanan masih standard hanya kamarnya tidak ada kualitas tapi lokasinya lumayan strategis dekat dgn stasiun dan jl malioboro,0.0,4.0,3.0,1,1,1
Tidak sesuai dengan harga hotel Seharusnya dengan harga tinggi fasilitas yang diberikan dapat lebih pelayanan kurang ramah,5.0,0.0,3.0,1,0,1
Makananya kurang enak fasilitas kurang lengkap sabun berdua hanya disediakan shower gel tidak sesuai harga,5.0,0.0,0.0,0,1,1
Menu makanan breakfast terbatas dan sudah banyak yang habis ketika saya masuk slot jam sarapan ke jam Overall not recommend dengan harga hotel yang mahal dan pelayanan buruk,5.0,0.0,3.0,1,1,1
Resepsionis judes abis Kamar berisik suara dari luar Mahal tapi kecewa ,5.0,4.0,3.0,1,1,0
Lokasi dan bangunan hotel bagus fasilitas juga bagus untuk kolam renang spa gym dan playground sesuai harga,5.0,0.0,0.0,1,0,1
