text,aspek,sentiment,hotel,lokasi,kamar,pelayanan,makanan,harga
shuttle gratis malioboro,harga,positive,0,0,0,0,0,1
dapat gratis course golf,harga,positive,0,0,0,0,0,1
gratis andong keliling,harga,positive,0,0,0,0,0,1
sesuai harga,harga,positive,0,0,0,0,0,1
harga terjangkau,harga,positive,0,0,0,0,0,1
dapat harga hotel murah,harga,positive,0,0,0,0,0,1
hotel harga cukup terjangkau,harga,positive,0,0,0,0,0,1
hotel harga nyaman,harga,positive,0,0,0,0,0,1
harga murah,harga,positive,0,0,0,0,0,1
hotel harga murah kualitas unggulan,harga,positive,0,0,0,0,0,1
tidak_bikin dompet kering,harga,positive,0,0,0,0,0,1
gratis teh kopi,harga,positive,0,0,0,0,0,1
pesan aplikasi dapat harga terjangkau,harga,positive,0,0,0,0,0,1
harga segitu cocok,harga,positive,0,0,0,0,0,1
pesan lewat pegipegi murah,harga,positive,0,0,0,0,0,1
harga baik,harga,positive,0,0,0,0,0,1
hotel harga minimalis,harga,positive,0,0,0,0,0,1
harga pas,harga,positive,0,0,0,0,0,1
tempat baik sesuai harga,harga,positive,0,0,0,0,0,1
makanan minuman relatif terjangkau,harga,positive,0,0,0,0,0,1
sore dapat gratis teh rooftop,harga,positive,0,0,0,0,0,1
kamar full diupgrade tidak_ada tambahan_biaya,harga,positive,0,0,0,0,0,1
mendapat fasilitas gratis teh,harga,positive,0,0,0,0,0,1
murah,harga,positive,0,0,0,0,0,1
ada gratis teh,harga,positive,0,0,0,0,0,1
harga ekonomis,harga,positive,0,0,0,0,0,1
dapat teh sore gratis,harga,positive,0,0,0,0,0,1
harga kompetitif,harga,positive,0,0,0,0,0,1
air_mineral gratis,harga,positive,0,0,0,0,0,1
harga bersahabat,harga,positive,0,0,0,0,0,1
ada pengantaran gratis,harga,positive,0,0,0,0,0,1
harga minimal,harga,positive,0,0,0,0,0,1
hotel harga irit dompet,harga,positive,0,0,0,0,0,1
tidak_ada tambahan_biaya,harga,positive,0,0,0,0,0,1
harga hotel masuk sesuai,harga,positive,0,0,0,0,0,1
harga terjangkau termasuk sarapan,harga,positive,0,0,0,0,0,1
harga murah meriah,harga,positive,0,0,0,0,0,1
perlengkapan_mandi gratis tidak_bayar,harga,positive,0,0,0,0,0,1
harga turun,harga,positive,0,0,0,0,0,1
bisa bayar debit,harga,positive,0,0,0,0,0,1
air_kemasan gratis,harga,positive,0,0,0,0,0,1
air_minum gratis,harga,positive,0,0,0,0,0,1
