original_text,text_cleaned,actual_1,actual_2,predicted_1,predicted_2
"makanan yang disajikan di hotel ini sangat lezat, fasilitas yang tersedia juga lengkap dan memenuhi kebutuhan para tamu.",makanan yang disajikan di hotel ini sangat lezat fasilitas yang tersedia juga lengkap dan memenuhi kebutuhan para tamu ,0.0,0.0,0,0
"saya sangat puas dengan makanan yang disediakan di hotel ini, fasilitas seperti kolam renang dan pusat kebugaran juga sangat memadai.",saya sangat puas dengan makanan yang disediakan di hotel ini fasilitas seperti kolam renang dan pusat kebugaran juga sangat memadai ,0.0,0.0,1,1
kualitas makanan di hotel ini sungguh memuaskan rasanya lezat dan bahan-bahannya segar. fasilitas seperti restoran yang nyaman dan ruang pertemuan yang lengkap membuat pengalaman menginap di hotel ini menjadi lebih menyenangkan.,kualitas makanan di hotel ini sungguh memuaskan rasanya lezat dan bahan bahannya segar fasilitas seperti restoran yang nyaman dan ruang pertemuan yang lengkap membuat pengalaman menginap di hotel ini menjadi lebih menyenangkan ,0.0,0.0,0,0
makanan yang disajikan di hotel ini sangat lezat dan beragam. saya sangat menikmati hidangan-hidangan mereka yang berkualitas tinggi,makanan yang disajikan di hotel ini sangat lezat dan beragam saya sangat menikmati hidangan hidangan mereka yang berkualitas tinggi,0.0,4.0,0,0
"kamar yang diberikan sangat bersih dan nyaman, saya merasa rileks dan dapat istirahat dengan baik setelah seharian beraktivitas",kamar yang diberikan sangat bersih dan nyaman saya merasa rileks dan dapat istirahat dengan baik setelah seharian beraktivitas,0.0,4.0,0,1
pilihan makanan yang tersedia di dalam kamar sangat memuaskan. Saya senang bisa menikmati makanan lezat tanpa harus keluar dari kamar,pilihan makanan yang tersedia di dalam kamar sangat memuaskan Saya senang bisa menikmati makanan lezat tanpa harus keluar dari kamar,0.0,4.0,0,1
makanan di hotel ini sangat lezat dan harganya juga terjangkau. Sangat puas dengan harga yang diberikan,makanan di hotel ini sangat lezat dan harganya juga terjangkau Sangat puas dengan harga yang diberikan,0.0,0.0,0,0
saya senang dengan variasi menu makanan yang ditawarkan dan harganya sangat bersahabat dengan dompet,saya senang dengan variasi menu makanan yang ditawarkan dan harganya sangat bersahabat dengan dompet,0.0,0.0,0,0
makanan di sini memiliki kualitas yang baik dan harganya sangat terjangkau,makanan di sini memiliki kualitas yang baik dan harganya sangat terjangkau,0.0,0.0,0,0
"makanan yang disajikan di restoran ini sangat lezat dan memiliki variasi menu yang memuaskan,  ditambah dengan lokasinya yang strategis di pusat kota.",makanan yang disajikan di restoran ini sangat lezat dan memiliki variasi menu yang memuaskan ditambah dengan lokasinya yang strategis di pusat kota ,6.0,0.0,0,0
"restoran hotel menawarkan makanan yang lezat dengan citarasa yang autentik, terletak di lokasi yang mudah dijangkau, membuatnya menjadi tempat yang ideal untuk menikmati hidangan enak saat berada di kota ini",restoran hotel menawarkan makanan yang lezat dengan citarasa yang autentik terletak di lokasi yang mudah dijangkau membuatnya menjadi tempat yang ideal untuk menikmati hidangan enak saat berada di kota ini,6.0,0.0,0,0
"makanan yang disajikan di restoran ini sungguh menggugah selera, dengan lokasi yang terletak di dekat atraksi wisata utama.",makanan yang disajikan di restoran ini sungguh menggugah selera dengan lokasi yang terletak di dekat atraksi wisata utama ,6.0,0.0,0,0
"makanan di restoran ini sangat lezat, pelayanannya juga ramah dan cepat tanggap terhadap permintaan kami.",makanan di restoran ini sangat lezat pelayanannya juga ramah dan cepat tanggap terhadap permintaan kami ,0.0,0.0,0,0
"saya sangat terkesan dengan kualitas makanan yang disajikan di sini, ditambah dengan pelayanan yang ramah, membuat pengalaman makan saya menjadi menyenangkan.",saya sangat terkesan dengan kualitas makanan yang disajikan di sini ditambah dengan pelayanan yang ramah membuat pengalaman makan saya menjadi menyenangkan ,0.0,0.0,1,1
pelayanan yang sangat baik dan makanan yang enak membuat kunjungan saya ke restoran ini sangat memuaskan. saya benar-benar menikmati pengalaman kuliner yang diberikan,pelayanan yang sangat baik dan makanan yang enak membuat kunjungan saya ke restoran ini sangat memuaskan saya benar benar menikmati pengalaman kuliner yang diberikan,0.0,0.0,1,1
fasilitas yang disediakan di hotel ini sangat lengkap dan kamar yang diberikan sangat nyaman. Saya senang dengan keberadaan kolam renang dan pusat kebugaran yang memudahkan saya untuk tetap aktif selama menginap.,fasilitas yang disediakan di hotel ini sangat lengkap dan kamar yang diberikan sangat nyaman Saya senang dengan keberadaan kolam renang dan pusat kebugaran yang memudahkan saya untuk tetap aktif selama menginap ,0.0,4.0,1,0
"fasilitas yang ada di kamar hotel ini sangat memadai, mulai dari TV dengan channel yang beragam, kulkas mini, hingga akses Wi-Fi yang cepat. Saya merasa sangat nyaman dan puas dengan fasilitas yang disediakan.",fasilitas yang ada di kamar hotel ini sangat memadai mulai dari TV dengan channel yang beragam kulkas mini hingga akses Wi Fi yang cepat Saya merasa sangat nyaman dan puas dengan fasilitas yang disediakan ,0.0,4.0,0,0
"fasilitas yang tersedia di dalam kamar hotel ini sungguh memanjakan tamu. Dari tempat tidur yang nyaman, meja kerja yang luas, hingga fasilitas mandi lengkap seperti shower dengan air panas. Semua aspek kamar sangat memuaskan dan membuat saya merasa seperti di rumah sendiri.",fasilitas yang tersedia di dalam kamar hotel ini sungguh memanjakan tamu Dari tempat tidur yang nyaman meja kerja yang luas hingga fasilitas mandi lengkap seperti shower dengan air panas Semua aspek kamar sangat memuaskan dan membuat saya merasa seperti di rumah sendiri ,0.0,4.0,1,0
Fasilitas yang disediakan oleh hotel ini sangat lengkap dan sebanding dengan harga yang ditawarkan.,Fasilitas yang disediakan oleh hotel ini sangat lengkap dan sebanding dengan harga yang ditawarkan ,0.0,0.0,1,0
"Harga menginap di hotel ini sangat terjangkau, namun fasilitas yang diberikan tetap berkualitas dan memuaskan.",Harga menginap di hotel ini sangat terjangkau namun fasilitas yang diberikan tetap berkualitas dan memuaskan ,0.0,0.0,1,0
saya sangat puas dengan fasilitas yang disediakan oleh hotel ini mengingat harga yang relatif terjangkau.,saya sangat puas dengan fasilitas yang disediakan oleh hotel ini mengingat harga yang relatif terjangkau ,0.0,0.0,1,1
Hotel ini memiliki fasilitas lengkap dan lokasi yang strategis. Sangat mudah untuk menikmati kenyamanan penginapan sambil menjelajahi tempat-tempat menarik di sekitarnya.,Hotel ini memiliki fasilitas lengkap dan lokasi yang strategis Sangat mudah untuk menikmati kenyamanan penginapan sambil menjelajahi tempat tempat menarik di sekitarnya ,6.0,0.0,0,0
"Fasilitas yang disediakan hotel ini sangat memadai dan lokasinya sangat nyaman. Dengan begitu, tamu dapat dengan mudah mengakses berbagai tempat penting dan objek wisata di sekitarnya.",Fasilitas yang disediakan hotel ini sangat memadai dan lokasinya sangat nyaman Dengan begitu tamu dapat dengan mudah mengakses berbagai tempat penting dan objek wisata di sekitarnya ,6.0,0.0,1,0
"Saya sangat terkesan dengan fasilitas yang tersedia di hotel ini dan lokasinya yang sangat strategis. Dalam waktu singkat, saya dapat mengunjungi tempat-tempat menarik dan restoran terkenal di sekitarnya.",Saya sangat terkesan dengan fasilitas yang tersedia di hotel ini dan lokasinya yang sangat strategis Dalam waktu singkat saya dapat mengunjungi tempat tempat menarik dan restoran terkenal di sekitarnya ,6.0,0.0,1,1
"Fasilitas yang disediakan di hotel ini sangat lengkap dan memenuhi kebutuhan kami. Pelayanan dari staf juga sangat ramah dan responsif, membuat kami merasa dihargai selama menginap di sini.",Fasilitas yang disediakan di hotel ini sangat lengkap dan memenuhi kebutuhan kami Pelayanan dari staf juga sangat ramah dan responsif membuat kami merasa dihargai selama menginap di sini ,0.0,0.0,1,0
"fasilitas yang tersedia di hotel ini sangat modern dan terawat dengan baik. Pelayanan dari tim hotel juga sangat profesional dan membantu, mereka dengan senang hati menjawab pertanyaan dan memberikan rekomendasi yang berguna.",fasilitas yang tersedia di hotel ini sangat modern dan terawat dengan baik Pelayanan dari tim hotel juga sangat profesional dan membantu mereka dengan senang hati menjawab pertanyaan dan memberikan rekomendasi yang berguna ,0.0,0.0,1,1
"kami sangat puas dengan fasilitas yang disediakan oleh hotel ini, mulai dari kolam renang yang indah hingga pusat kebugaran yang lengkap. Pelayanan dari seluruh staf sangat ramah dan perhatian, membuat pengalaman menginap kami menjadi luar biasa.",kami sangat puas dengan fasilitas yang disediakan oleh hotel ini mulai dari kolam renang yang indah hingga pusat kebugaran yang lengkap Pelayanan dari seluruh staf sangat ramah dan perhatian membuat pengalaman menginap kami menjadi luar biasa ,0.0,0.0,1,0
"Kamar yang saya dapatkan dengan harga yang terjangkau sungguh luar biasa. Ruangannya bersih, nyaman, dan memiliki fasilitas lengkap.",Kamar yang saya dapatkan dengan harga yang terjangkau sungguh luar biasa Ruangannya bersih nyaman dan memiliki fasilitas lengkap ,0.0,4.0,0,0
"saya sangat senang dengan kamar yang saya tempati di hotel ini, harganya sangat terjangkau namun kualitasnya tidak mengecewakan. Sangat worth it! ",saya sangat senang dengan kamar yang saya tempati di hotel ini harganya sangat terjangkau namun kualitasnya tidak mengecewakan Sangat worth it ,0.0,4.0,1,1
"Kamar dengan harga yang ramah di kantong, tapi tidak mengorbankan kualitas. Saya merasa puas dengan pengalaman menginap saya di sini.",Kamar dengan harga yang ramah di kantong tapi tidak mengorbankan kualitas Saya merasa puas dengan pengalaman menginap saya di sini ,0.0,4.0,0,0
Harga yang terjangkau dan pelayanan yang ramah membuat pengalaman menginap di hotel ini sangat menyenangkan.,Harga yang terjangkau dan pelayanan yang ramah membuat pengalaman menginap di hotel ini sangat menyenangkan ,0.0,0.0,1,1
Saya sangat terkesan dengan harga yang kompetitif dan pelayanan yang baik di hotel ini.,Saya sangat terkesan dengan harga yang kompetitif dan pelayanan yang baik di hotel ini ,0.0,0.0,1,1
"Meskipun harganya terjangkau, pelayanan yang diberikan tetap profesional dan ramah.",Meskipun harganya terjangkau pelayanan yang diberikan tetap profesional dan ramah ,0.0,0.0,1,0
"Lokasi hotel ini sangat strategis, dekat dengan tempat-tempat wisata dan pusat perbelanjaan. Pelayanan staf hotel juga sangat ramah dan responsif, membuat pengalaman menginap di sini sangat menyenangkan.",Lokasi hotel ini sangat strategis dekat dengan tempat tempat wisata dan pusat perbelanjaan Pelayanan staf hotel juga sangat ramah dan responsif membuat pengalaman menginap di sini sangat menyenangkan ,6.0,0.0,1,1
"Saya sangat puas dengan lokasi hotel ini karena mudah untuk mencapai tempat-tempat penting di kota. Selain itu, pelayanan yang diberikan oleh tim hotel sangat baik, mereka sangat membantu dan perhatian terhadap kebutuhan tamu.",Saya sangat puas dengan lokasi hotel ini karena mudah untuk mencapai tempat tempat penting di kota Selain itu pelayanan yang diberikan oleh tim hotel sangat baik mereka sangat membantu dan perhatian terhadap kebutuhan tamu ,6.0,0.0,1,0
Lokasi hotel ini benar-benar mempermudah perjalanan saya. Pelayanan yang diberikan oleh staff hotel sangat profesional dan ramah. Mereka selalu siap membantu dengan senyum di wajah mereka.,Lokasi hotel ini benar benar mempermudah perjalanan saya Pelayanan yang diberikan oleh staff hotel sangat profesional dan ramah Mereka selalu siap membantu dengan senyum di wajah mereka ,6.0,0.0,1,0
"Fasilitas di hotel ini sangat lengkap, terutama untuk makanan. Restoran mereka menyajikan hidangan lezat dengan variasi menu yang beragam.",Fasilitas di hotel ini sangat lengkap terutama untuk makanan Restoran mereka menyajikan hidangan lezat dengan variasi menu yang beragam ,6.0,0.0,1,1
"Saya sangat terkesan dengan fasilitas yang disediakan hotel ini, terutama pilihan makanannya. Mereka memiliki restoran yang menghadirkan hidangan lezat dan kualitasnya sangat baik.",Saya sangat terkesan dengan fasilitas yang disediakan hotel ini terutama pilihan makanannya Mereka memiliki restoran yang menghadirkan hidangan lezat dan kualitasnya sangat baik ,0.0,0.0,1,1
